name,namex,category,price_elasticity,price_mean,impressions_mean,intercept,slope
Elite SC-LX501 7.2-Channel Network A/V Receiver,0,"receiver, amplifier, home",-0.141572879,2.697368421,0.311540125,0.355645758,-0.016351356
"Power Acoustik EG1-4500D Edge Series Monoblock Class D Amp, 4,500 Watts Max",1,"car, speaker, subwoofer",-0.13355556,1.773684211,0.250869747,0.284374796,-0.018890087
PYLE - Amplifier - Black,2,"receiver, amplifier, home",-3.762006432,7.263157895,0.037789111,0.179951992,-0.01957315
Details About Sony Kd70x690e 70inch 4k Ultra Hd Smart Led Tv (2017 Model),3,"tv, television, led",-0.275314379,3.146491228,0.355582137,0.453479013,-0.03111303
Sennheiser - RS 175 Over-the-Ear Wireless Headphone System - Black,4,headphone,-0.257778005,2.210526316,0.773062143,0.972340559,-0.09014976
Silencio 352 microATX Case (Black),5,"case, computer",1.027654686,0.210526316,1.077045455,-0.029785354,5.257446338
Alpha a7S II Mirrorless Digital Camera Body with Accessories Kit,6,"camera, mirrorless",-0.072324352,0.122807018,2.728379101,2.925707352,-1.606815756
PowerShot G5 X Digital Camera Free Accessory Kit,7,"camera, shoot, point",0.100455806,0.227318296,1.166369995,1.049201358,0.515438659
iHome iBN43BC Bluetooth Stereo Dual Alarm FM Clock Radio and Speakerphone with USB Charging,8,"radio, portable, satellite",-1.321006337,7.447368421,0.130921053,0.303868593,-0.023222638
GoSafe S30 1080p Dash Cam,9,"car, gps, dash",-0.028930238,0.947368421,0.082265713,0.08464568,-0.002512187
"LG - 65 Class - OLED - B7A Series - 2160p - Smart - 4K UHD TV with HDR""",10,"tv, 4k, television",0.07803971,4.991102757,0.83056797,0.765750687,0.012986566
"Sony 65 Class 4K (2160P) Smart OLED TV (XBR65A1E)""",11,"tv, 4k, television",0.221645023,3.137153782,2.791320772,2.172638414,0.197211358
Cyber-shot DSC-WX220 Digital Camera (Black),12,"camera, shoot, point",-0.396664716,2.142481203,0.498794027,0.696648017,-0.092348064
MG278Q 27 Widescreen LED Backlit TN Gaming Monitor,13,"monitor, computer",-0.045416603,0.245614035,1.095883476,1.14565478,-0.20264031
M.Zuiko Digital ED 40-150mm f/4-5.6 R Lens (Silver),14,"lens, camera",-0.02702998,1.131578947,1.94757004,2.00021282,-0.046521527
4TB My Book Desktop USB 3.0 External Hard Drive,15,"drive, storage, hard",-2.166666667,4.561403509,0.313938409,0.994138294,-0.149120744
Gear 360 Spherical VR Camera,16,"camera, camcorder, action",-0.379611289,0.596491228,0.28195001,0.388981417,-0.179435006
HD 700 Stereo Headphones,17,headphone,2.226469496,6.233918129,-0.03183508,0.039044755,-0.01137003
Details About Samsung Electronics Un49mu8000 49inch 4k (2160p) Uhd Led Lcd Internet Smart Tv,18,"tv, television, led",2.12427528,12.76992481,0.031768612,-0.035716665,0.005284704
Dell DW316 External USB Slim DVD R/W Optical Drive 429-AAUX,19,"drive, dvd, computer",-0.31624848,0.821052632,0.822328549,1.082388702,-0.31673993
Canon Black EOS Rebel T5i Digital SLR Camera with 18 Megapixels and 18-135mm Lens Included,20,"camera, mirrorless",-5.643998371,17.37311506,0.013713061,0.091109553,-0.004454958
Thermaltake - SMART Series 650W Bronze Power Supply - Black,21,"power, computer, supply",-0.019743112,0.078947368,1.03419465,1.054612871,-0.258630803
Details About 128gb Sony Xqd Qdg128e/j Memory Card,22,"card, memory, camera",-0.218081094,2.666666667,2.239285388,2.727631195,-0.183129678
1500-Watt Digital Infrared Heater with Wi-Fi Phone App - White,23,"tablet, computer, ipad",-0.122006815,1.48245614,1.385581075,1.554631408,-0.114033953
"Details About Kenwood Ddx375bt Car Double Din 6.2 Touchscreen Usb Dvd Cd Bluetooth Stereo""",24,"car, gps, dash",-0.189673024,0.147368421,0.243278272,0.289421597,-0.313115423
"MSI - 15.6 Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 256GB Solid State Drive - Black""",25,"laptop, computer",-130.9727815,0.140350877,0.000326428,0.043079606,-0.304616391
fr Case for Galaxy S7 (Black),26,"phone, cell",-0.345511095,4.631578947,0.671679198,0.903751813,-0.050106587
EOS Rebel SL2 DSLR Camera Body Deluxe Kit,27,"camera, mirrorless",-0.010208467,0.273279352,0.652931285,0.659596713,-0.024390528
M-Audio - Over-the-Ear Headphones - Black,28,headphone,-0.707164046,11.05263158,0.162364644,0.277183082,-0.010388335
