,name,namex
0,Elite SC-LX501 7.2-Channel Network A/V Receiver,0
1,"Power Acoustik EG1-4500D Edge Series Monoblock Class D Amp, 4,500 Watts Max",1
2,PYLE - Amplifier - Black,2
3,Details About Sony Kd70x690e 70inch 4k Ultra Hd Smart Led Tv (2017 Model),3
4,Sennheiser - RS 175 Over-the-Ear Wireless Headphone System - Black,4
5,Silencio 352 microATX Case (Black),5
6,Alpha a7S II Mirrorless Digital Camera Body with Accessories Kit,6
7,PowerShot G5 X Digital Camera Free Accessory Kit,7
8,iHome iBN43BC Bluetooth Stereo Dual Alarm FM Clock Radio and Speakerphone with USB Charging,8
9,GoSafe S30 1080p Dash Cam,9
10,"LG - 65 Class - OLED - B7A Series - 2160p - Smart - 4K UHD TV with HDR""",10
11,"Sony 65 Class 4K (2160P) Smart OLED TV (XBR65A1E)""",11
12,Cyber-shot DSC-WX220 Digital Camera (Black),12
13,MG278Q 27 Widescreen LED Backlit TN Gaming Monitor,13
14,M.Zuiko Digital ED 40-150mm f/4-5.6 R Lens (Silver),14
15,4TB My Book Desktop USB 3.0 External Hard Drive,15
16,Gear 360 Spherical VR Camera,16
17,HD 700 Stereo Headphones,17
18,Details About Samsung Electronics Un49mu8000 49inch 4k (2160p) Uhd Led Lcd Internet Smart Tv,18
19,Dell DW316 External USB Slim DVD R/W Optical Drive 429-AAUX,19
20,Canon Black EOS Rebel T5i Digital SLR Camera with 18 Megapixels and 18-135mm Lens Included,20
21,Thermaltake - SMART Series 650W Bronze Power Supply - Black,21
22,Details About 128gb Sony Xqd Qdg128e/j Memory Card,22
23,1500-Watt Digital Infrared Heater with Wi-Fi Phone App - White,23
24,"Details About Kenwood Ddx375bt Car Double Din 6.2 Touchscreen Usb Dvd Cd Bluetooth Stereo""",24
25,"MSI - 15.6 Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 256GB Solid State Drive - Black""",25
26,fr Case for Galaxy S7 (Black),26
27,EOS Rebel SL2 DSLR Camera Body Deluxe Kit,27
28,M-Audio - Over-the-Ear Headphones - Black,28
29,Sennheiser - HD 599 Over-the-Ear Headphones HD 5 - Brown/ivory/matte metallic,29
30,Razer Ripsaw USB 3.0 Game Stream and Capture Card for PC,30
31,Adventura SH 140 II Shoulder Bag (Black),31
32,"Refurbished Samsung Curved 65 4K (2160P) Smart QLED TV (2017 Model) + 1 Year Extended Warranty (QN65Q7CAMFXZA)""",32
33,Toshiba X300 4TB Performance Desktop and Gaming Hard Drive 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5 Inch Internal Hard Drive (HDWE140XZSTA),33
34,Alpha a5100 Mirrorless Digital Camera with 16-50mm Lens (White),34
35,Cooler Master - HAF X Ultimate Full-Tower Chassis - Black,35
36,"Details About Samsung 55 Class 4k (2160p) Smart Led Tv (un55mu7000fxza)""",36
37,"Sony - 55 Class - LED - X800E Series - 2160p - Smart - 4K UHD TV with HDR""",37
38,"MTX - Monitor Series Dual 6-1/2 200W 2-way Center-Channel Speaker (Each) - Black""",38
39,Details About New Oem Apple Ipad Air 2 Otterbox Defender Rugged Series Case With Kick Stand,39
40,Pyle Backup Rear View Car Camera Monitor Screen System Kit - Parking and Reverse Safety Distance Scale Lines,40
41,UBD-M9500 HDR UHD Upscaling Blu-ray Disc Player,41
42,HT-XT2 170W 2.1-Channel TV Speaker Base (Black),42
